22/09/12,"Troy",14,"North Texas",7
22/09/12,"Louisville",28,"Florida Intl",21
22/09/12,"South Alabama",10,"Mississippi State",30
22/09/12,"South Dakota",7,"Northwestern",38
22/09/12,"Norfolk State",10,"Ohio",44
22/09/12,"Idaho State",7,"Nebraska",73
22/09/12,"So Carolina State",14,"Texas A+M",70
22/09/12,"Stephen F Austin",37,"Texas State",41
22/09/12,"Virginia Military",3,"Navy",41
22/09/12,"Gardner-Webb",10,"Pittsburgh",55
22/09/12,"The Citadel",14,"No Carolina State",52
22/09/12,"Alcorn State",0,"Arkansas State",56
22/09/12,"Coastal Carolina",28,"Toledo",38
22/09/12,"NW Oklahoma",3,"Texas-San Antonio",56
27/09/12,"Stanford",13,"Washington",17
28/09/12,"Hawaii",0,"Brigham Young",47
29/09/12,"Cincinnati",27,"Virginia Tech",24
29/09/12,"Buffalo",17,"Connecticut",24
29/09/12,"Penn State",35,"Illinois",7
29/09/12,"Minnesota",13,"Iowa",31
29/09/12,"Texas Tech",24,"Iowa State",13
29/09/12,"Clemson",45,"Boston College",31
29/09/12,"Louisiana Tech",44,"Virginia",38
29/09/12,"Ohio",37,"Massachusetts",34
29/09/12,"Ball State",43,"Kent State",45
29/09/12,"Idaho",0,"North Carolina",66
29/09/12,"Indiana",29,"Northwestern",44
29/09/12,"Marshall",41,"Purdue",51
29/09/12,"Duke",34,"Wake Forest",27
29/09/12,"South Carolina",38,"Kentucky",17
29/09/12,"Colorado State",21,"Air Force",42
29/09/12,"Texas Christian",24,"S-M-U",16
29/09/12,"Central Michigan",24,"Northern Illinois",55
29/09/12,"U.C.L.A.",42,"Colorado",14
29/09/12,"San Jose State",12,"Navy",0
29/09/12,"Oregon",51,"Washington State",26
29/09/12,"Texas",41,"Oklahoma State",36
29/09/12,"Arkansas",10,"Texas A+M",58
29/09/12,"Baylor",63,"West Virginia",70
29/09/12,"Ohio State",17,"Michigan State",16
29/09/12,"Tennessee",44,"Georgia",51
29/09/12,"Arizona State",27,"California",17
29/09/12,"Oregon State",38,"Arizona",35
29/09/12,"Mississippi",14,"Alabama",33
29/09/12,"Miami-Ohio",56,"Akron",49
29/09/12,"Missouri",21,"U-C-F",16
29/09/12,"UTEP",18,"East Carolina",28
29/09/12,"No Carolina State",37,"Miami-Florida",44
29/09/12,"Florida State",30,"South Florida",17
29/09/12,"Toledo",37,"Western Michigan",17
29/09/12,"Nevada-Reno",34,"Texas State",21
29/09/12,"Louisville",21,"Southern Miss",17
29/09/12,"Texas-San Antonio",35,"New Mexico State",14
29/09/12,"Wisconsin",27,"Nebraska",30
29/09/12,"Tulsa",49,"U-A-B",42
29/09/12,"Nevada-Las Vegas",13,"Utah State",35
29/09/12,"Houston",35,"Rice",14
29/09/12,"Boise State",32,"New Mexico",29
29/09/12,"San Diego State",40,"Fresno State",52
29/09/12,"Western Kentucky",26,"Arkansas State",13
29/09/12,"Troy",31,"South Alabama",10
29/09/12,"Florida Intl",20,"UL-Lafayette",48
29/09/12,"North Texas",20,"Florida Atlantic",14
29/09/12,"Middle Tennessee",49,"Georgia Tech",28
29/09/12,"UL-Monroe",63,"Tulane",10
29/09/12,"Stony Brook",23,"Army",3
29/09/12,"Rhode Island",8,"Bowling Green",48
29/09/12,"Towson",22,"Louisiana State",38
04/10/12,"East Carolina",20,"U-C-F",40
04/10/12,"Southern Cal",38,"Utah",28
04/10/12,"Arkansas State",34,"Florida Intl",20
05/10/12,"Pittsburgh",13,"Syracuse",14
05/10/12,"Utah State",3,"Brigham Young",6
06/10/12,"Navy",28,"Air Force",21
06/10/12,"Michigan State",31,"Indiana",27
06/10/12,"Northern Illinois",35,"Ball State",23
06/10/12,"Boston College",31,"Army",34
06/10/12,"Bowling Green",24,"Akron",10
06/10/12,"Miami-Ohio",14,"Cincinnati",52
06/10/12,"Georgia Tech",31,"Clemson",47
06/10/12,"Virginia",17,"Duke",42
06/10/12,"South Florida",28,"Temple",37
